TicketID,ApartmentNumber,IssueDescription,Priority,DateReported,Status
94,103,Air conditioning not cooling,Medium,2025-07-11,In Progress
95,348,Roof leak,Low,2025-12-16,Closed
96,292,Light fixture flickering,Medium,2025-07-18,Closed
97,195,Doorbell not working,Low,2025-05-11,In Progress
98,322,Mold in bathroom,Low,2025-08-26,Open
99,270,Broken window,Medium,2025-09-09,Open
100,206,Noise complaint,Low,2025-03-05,In Progress
101,309,Garage door malfunction,Medium,2025-11-14,In Progress
102,335,Broken window,Low,2025-05-23,Closed
103,272,Heater not working,Low,2025-08-16,Closed
104,318,Broken window,Medium,2025-12-29,Open
105,330,Doorbell not working,High,2025-04-24,In Progress
106,297,Light fixture flickering,Low,2025-02-03,Open
107,340,Painting required,Low,2025-07-11,Closed
108,236,Clogged drain,High,2025-12-12,Open
109,206,Clogged drain,Medium,2025-01-14,Open
110,242,Doorbell not working,Medium,2025-04-01,Open
111,363,Broken window,Low,2025-08-30,In Progress
112,397,Light fixture flickering,Medium,2025-10-30,Open
113,282,Doorbell not working,Low,2025-04-02,Closed
114,183,Air conditioning not cooling,Low,2025-12-28,Open
115,236,Doorbell not working,Medium,2025-09-24,In Progress
116,255,Air conditioning not cooling,High,2025-08-08,Closed
117,329,Air conditioning not cooling,High,2025-11-29,Closed
118,329,Noise complaint,Low,2025-04-04,In Progress
119,334,Roof leak,Medium,2025-09-22,Closed
120,234,Clogged drain,High,2025-10-17,Closed
121,107,Leaky faucet,Medium,2025-08-31,In Progress
122,323,Roof leak,Low,2025-08-18,Closed
123,156,Heater not working,High,2025-08-06,In Progress
124,112,No hot water,Low,2025-12-22,Open
125,216,Air conditioning not cooling,Medium,2025-04-26,In Progress
126,243,Faulty door lock,Low,2025-11-14,Open
127,301,Heater not working,Low,2025-10-16,In Progress
128,188,Doorbell not working,High,2025-05-05,Open
129,244,Roof leak,Medium,2025-05-27,In Progress
130,328,Leaky faucet,Low,2025-04-25,Closed
131,288,Doorbell not working,High,2025-12-12,In Progress
132,139,Pest control,Low,2025-09-24,In Progress
133,395,Doorbell not working,Low,2025-09-27,Closed
134,310,Heater not working,High,2025-04-20,In Progress
135,180,Mold in bathroom,Low,2025-10-15,In Progress
136,159,Mold in bathroom,Medium,2025-01-12,In Progress
137,183,Noise complaint,High,2025-10-26,Closed
138,242,Noise complaint,Medium,2025-07-03,Open
139,228,Doorbell not working,High,2025-08-27,Open
140,325,Broken window,Low,2025-05-16,Closed
141,350,Garage door malfunction,Low,2025-07-19,Closed
142,193,Leaky faucet,Low,2025-12-25,Closed
143,358,Roof leak,Low,2025-08-22,In Progress
144,224,Leaky faucet,Low,2025-08-06,In Progress
145,295,Broken window,Medium,2025-02-02,In Progress
146,231,Leaky faucet,Low,2025-03-26,Open
147,327,Noise complaint,Medium,2025-05-17,Open
148,139,Air conditioning not cooling,Low,2025-08-12,Open
149,361,Clogged drain,Low,2025-10-18,Open
150,206,Painting required,Medium,2025-11-27,Open
151,161,Clogged drain,Medium,2025-07-23,In Progress
152,260,Leaky faucet,Low,2025-02-11,In Progress
153,201,Roof leak,High,2025-09-30,In Progress
154,222,Faulty door lock,High,2025-04-15,In Progress
155,262,Garage door malfunction,Low,2025-10-01,Closed
156,203,Leaky faucet,Low,2025-03-01,In Progress
157,370,Noise complaint,Low,2025-10-04,Closed
158,131,Clogged drain,Medium,2025-07-24,In Progress
159,247,Broken window,High,2025-06-12,Open
160,175,Painting required,High,2025-02-08,Closed
161,376,No hot water,Medium,2025-05-27,In Progress
162,265,Faulty door lock,Medium,2025-11-23,Open
163,287,Painting required,Medium,2025-08-23,In Progress
164,327,Broken window,Medium,2025-11-22,Closed
165,130,Mold in bathroom,Medium,2025-07-28,Closed
166,261,Mold in bathroom,Low,2025-05-14,Open
167,277,Mold in bathroom,Low,2025-11-26,Open
168,289,No hot water,Low,2025-02-16,In Progress
169,301,Painting required,Medium,2025-06-08,Closed
170,331,Leaky faucet,Medium,2025-09-29,Closed
171,274,Pest control,High,2025-11-12,In Progress
172,218,Mold in bathroom,Low,2025-08-09,Open
173,299,Clogged drain,Low,2025-06-04,Open
174,360,Noise complaint,Low,2025-02-25,Open
175,226,Painting required,Medium,2025-02-19,Closed
176,376,Air conditioning not cooling,Low,2025-05-29,Open
177,263,Light fixture flickering,Medium,2025-01-02,In Progress
178,307,Faulty door lock,Low,2025-04-28,In Progress
179,279,Doorbell not working,Low,2025-07-09,Closed
180,364,Light fixture flickering,Low,2025-07-30,Closed
181,323,Broken window,High,2025-06-26,Open
182,340,Heater not working,Low,2025-02-23,Open
183,110,Heater not working,Medium,2025-08-25,In Progress
184,287,Pest control,High,2025-12-29,Open
185,289,Leaky faucet,Low,2025-09-06,Open
186,224,Clogged drain,High,2025-12-20,Closed
187,240,Pest control,Medium,2025-12-29,In Progress
188,321,Mold in bathroom,Medium,2025-09-13,Closed
189,108,Roof leak,Low,2025-04-27,Closed
190,133,Noise complaint,Medium,2025-03-14,Open
191,337,Broken window,High,2025-03-21,Closed
192,302,No hot water,High,2025-04-16,In Progress
193,385,Painting required,Low,2025-12-19,Open
194,307,Doorbell not working,Low,2025-12-22,In Progress
195,205,Clogged drain,High,2025-04-24,Closed
196,236,Pest control,Medium,2025-07-08,Open
197,218,Light fixture flickering,Low,2025-12-09,In Progress
198,345,Noise complaint,Low,2025-12-22,Open
199,258,Mold in bathroom,Medium,2025-03-13,In Progress
200,316,Light fixture flickering,High,2025-11-17,In Progress
201,200,Doorbell not working,Medium,2025-08-03,In Progress
202,373,Garage door malfunction,Low,2025-06-17,In Progress
203,105,Painting required,Low,2025-03-26,In Progress
204,261,Doorbell not working,Medium,2025-11-01,Closed
205,103,Faulty door lock,Medium,2025-05-28,Closed
206,314,Air conditioning not cooling,Medium,2025-11-28,Open
207,254,Painting required,High,2025-01-02,Closed
208,296,Air conditioning not cooling,Medium,2025-10-27,Open
209,120,Doorbell not working,High,2025-04-21,Closed
210,181,Broken window,Low,2025-08-15,Open
211,385,Leaky faucet,Low,2025-12-29,In Progress
212,338,Light fixture flickering,High,2025-10-17,Closed
213,285,No hot water,Medium,2025-03-04,In Progress
214,302,Air conditioning not cooling,Low,2025-08-15,In Progress
215,242,Roof leak,High,2025-06-01,Open
216,239,Noise complaint,High,2025-06-02,Closed
217,331,Air conditioning not cooling,High,2025-02-10,In Progress
218,360,No hot water,Medium,2025-09-29,Open
219,258,Doorbell not working,Low,2025-01-18,Open
220,315,Pest control,High,2025-08-08,Closed
221,263,Clogged drain,Medium,2025-03-23,In Progress
222,123,Mold in bathroom,Low,2025-06-03,Open
223,275,Leaky faucet,Low,2025-03-12,Closed
224,341,Leaky faucet,Low,2025-03-18,Closed
225,280,No hot water,Low,2025-10-09,Open
226,156,Pest control,Low,2025-04-19,Closed
227,246,Garage door malfunction,High,2025-01-13,In Progress
228,221,Light fixture flickering,High,2025-09-12,In Progress
229,339,Noise complaint,Low,2025-11-07,In Progress
230,146,Leaky faucet,Low,2025-12-05,Open
231,114,Pest control,Low,2025-06-30,Closed
232,364,Air conditioning not cooling,High,2025-08-04,In Progress
233,154,Light fixture flickering,Low,2025-10-24,Open
234,265,Garage door malfunction,Medium,2025-11-01,Open
235,237,Leaky faucet,Low,2025-10-26,In Progress
236,378,Heater not working,Medium,2025-09-07,In Progress
237,228,Clogged drain,High,2025-02-12,Closed
238,217,Air conditioning not cooling,Medium,2025-03-30,In Progress
239,399,Faulty door lock,Low,2025-09-22,In Progress
240,117,Painting required,Low,2025-10-01,Closed
241,351,Mold in bathroom,Medium,2025-09-30,Closed
242,300,Clogged drain,Low,2025-04-08,Open
243,225,Broken window,Medium,2025-05-24,In Progress
244,256,Broken window,High,2025-08-11,Open
245,205,Air conditioning not cooling,Low,2025-12-15,Open
246,240,Faulty door lock,High,2025-09-20,Open
247,116,Noise complaint,Low,2025-03-22,In Progress
248,313,Pest control,Low,2025-12-29,Open
249,311,Roof leak,Low,2025-08-10,Open
250,360,Faulty door lock,Low,2025-06-22,Open
251,193,Garage door malfunction,Low,2025-08-07,Open
252,200,Pest control,Low,2025-08-14,In Progress
253,300,Broken window,High,2025-01-01,In Progress
254,307,Pest control,Medium,2025-09-16,Closed
255,259,Painting required,Medium,2025-09-17,In Progress
256,227,Leaky faucet,Medium,2025-11-23,Closed
257,225,Heater not working,Low,2025-02-18,Closed
258,216,Broken window,Low,2025-12-29,In Progress
259,198,Light fixture flickering,Low,2025-07-18,Open
260,232,Clogged drain,Low,2025-07-25,In Progress
261,140,No hot water,High,2025-07-25,In Progress
262,222,No hot water,Low,2025-12-26,In Progress
263,322,Clogged drain,Low,2025-02-25,In Progress
264,353,Air conditioning not cooling,Low,2025-03-07,Open
265,366,Leaky faucet,Low,2025-06-19,Closed
266,256,Doorbell not working,High,2025-10-07,Open
267,299,No hot water,Low,2025-08-12,Open
268,394,Garage door malfunction,Medium,2025-03-05,Open
269,205,Garage door malfunction,High,2025-08-05,In Progress
270,231,Broken window,Medium,2025-06-22,Open
271,228,Heater not working,Medium,2025-04-06,Open
272,281,Mold in bathroom,Low,2025-10-29,Closed
273,136,Pest control,High,2025-08-23,Open
274,219,Garage door malfunction,Low,2025-03-01,Closed
275,166,No hot water,Medium,2025-12-01,In Progress
276,377,Noise complaint,Medium,2025-06-06,Open
277,183,Pest control,Medium,2025-03-31,Closed
278,315,Light fixture flickering,Low,2025-02-24,Open
279,259,Doorbell not working,Low,2025-06-12,Open
280,397,Leaky faucet,Medium,2025-01-23,In Progress
281,301,Clogged drain,High,2025-08-06,Open
282,270,Heater not working,Low,2025-01-10,Closed
283,335,Painting required,Medium,2025-03-31,Closed
284,107,Roof leak,Medium,2025-01-20,In Progress
285,344,Clogged drain,Low,2025-03-26,Open
286,285,Clogged drain,High,2025-01-19,In Progress
287,254,Pest control,Low,2025-06-03,Open
288,317,Garage door malfunction,High,2025-05-20,In Progress
289,149,Noise complaint,High,2025-02-28,Open
290,231,Heater not working,Medium,2025-08-20,In Progress
291,131,Pest control,Low,2025-08-24,Open
292,369,Air conditioning not cooling,Low,2025-03-19,Closed
293,166,Roof leak,Low,2025-04-04,Closed
294,214,Faulty door lock,Low,2025-08-29,Closed
295,371,Faulty door lock,Low,2025-07-01,In Progress
296,230,Mold in bathroom,Low,2025-01-30,Open
297,359,Air conditioning not cooling,High,2025-02-15,In Progress
298,183,Painting required,Medium,2025-05-15,Closed
299,376,Light fixture flickering,Low,2025-01-02,In Progress
300,393,Light fixture flickering,Low,2025-09-09,In Progress
301,277,Faulty door lock,Low,2025-10-29,Closed
302,338,Painting required,Low,2025-02-21,Closed
303,350,Mold in bathroom,Medium,2025-01-12,In Progress
304,148,Light fixture flickering,Low,2025-09-10,Open
305,246,Garage door malfunction,Low,2025-01-22,Open
306,229,Heater not working,Low,2025-03-15,Open
307,133,No hot water,Medium,2025-11-30,In Progress
308,219,Heater not working,Low,2025-07-12,In Progress
309,373,Broken window,High,2025-11-20,Open
310,254,No hot water,Low,2025-02-03,Open
311,325,Noise complaint,Low,2025-02-21,In Progress
312,262,Painting required,Low,2025-10-18,Closed
313,267,Doorbell not working,Medium,2025-03-07,Open
314,274,Leaky faucet,Low,2025-01-12,In Progress
315,397,Clogged drain,Low,2025-02-14,In Progress
316,150,Broken window,Low,2025-07-31,Closed
317,216,Doorbell not working,Low,2025-11-03,Open
318,136,No hot water,High,2025-02-07,In Progress
319,375,Clogged drain,High,2025-02-18,Open
320,319,Garage door malfunction,Low,2025-12-08,Closed
321,285,Heater not working,Medium,2025-04-26,Closed
322,149,Noise complaint,Low,2025-10-10,Closed
323,204,Pest control,High,2025-05-07,In Progress
324,330,Faulty door lock,High,2025-03-02,Closed
325,230,Doorbell not working,Low,2025-09-07,Closed
326,210,Doorbell not working,High,2025-11-18,Closed
327,305,Heater not working,High,2025-09-27,In Progress
328,148,Doorbell not working,Low,2025-02-06,In Progress
329,275,Mold in bathroom,High,2025-08-05,In Progress
330,389,No hot water,Low,2025-09-28,In Progress
331,369,Clogged drain,High,2025-08-26,Open
332,139,Doorbell not working,Low,2025-10-20,Closed
333,199,Clogged drain,Low,2025-02-13,In Progress
334,314,Broken window,Medium,2025-08-01,Open
335,290,Broken window,Medium,2025-07-05,In Progress
336,306,Broken window,Low,2025-07-24,Closed
337,322,Broken window,Low,2025-10-25,Closed
338,262,Faulty door lock,Medium,2025-10-11,In Progress
339,131,Clogged drain,Low,2025-10-06,Open
340,305,Mold in bathroom,Medium,2025-12-05,In Progress
341,307,Mold in bathroom,High,2025-01-30,In Progress
342,192,Faulty door lock,Medium,2025-04-22,Closed
343,143,Heater not working,Medium,2025-06-18,Closed
344,192,Doorbell not working,Medium,2025-04-18,Closed
345,102,Doorbell not working,Medium,2025-05-18,Open
346,220,Air conditioning not cooling,Low,2025-10-01,Closed
347,373,Pest control,Medium,2025-10-26,Closed
348,284,Painting required,High,2025-01-09,Closed
349,178,Doorbell not working,Low,2025-07-02,In Progress
350,368,Mold in bathroom,Medium,2025-06-28,In Progress
351,204,Mold in bathroom,Low,2025-10-09,Closed
352,358,Light fixture flickering,High,2025-09-15,Open
353,397,Heater not working,High,2025-10-15,In Progress
354,253,Doorbell not working,Low,2025-02-02,Closed
355,276,Air conditioning not cooling,Medium,2025-06-07,Closed
356,358,Noise complaint,Low,2025-03-30,Closed
357,167,Noise complaint,Medium,2025-07-05,In Progress
358,194,Pest control,Medium,2025-03-31,In Progress
359,240,Broken window,High,2025-09-21,Open
360,109,Light fixture flickering,Low,2025-10-17,Open
361,358,Broken window,Medium,2025-05-30,Open
362,399,Broken window,High,2025-09-12,Closed
363,197,Heater not working,Low,2025-03-07,Closed
364,154,Mold in bathroom,Low,2025-12-16,In Progress
365,340,Broken window,High,2025-06-24,Closed
366,152,Light fixture flickering,High,2025-10-04,Closed
367,116,Faulty door lock,Low,2025-11-28,In Progress
368,197,Garage door malfunction,Low,2025-04-02,Open
369,103,No hot water,Medium,2025-03-03,In Progress
370,277,Broken window,High,2025-10-30,Closed
371,243,Doorbell not working,Medium,2025-11-17,In Progress
372,281,Doorbell not working,Medium,2025-04-15,In Progress
373,172,Pest control,Low,2025-02-27,In Progress
374,326,Mold in bathroom,Low,2025-11-29,In Progress
375,220,Clogged drain,Medium,2025-05-26,In Progress
376,162,Mold in bathroom,Low,2025-08-09,Closed
377,173,Roof leak,Medium,2025-03-12,Open
378,160,Doorbell not working,Low,2025-07-01,Open
379,318,Air conditioning not cooling,Low,2025-09-05,Open
380,239,Air conditioning not cooling,Low,2025-04-13,In Progress
381,177,No hot water,Low,2025-07-09,Open
382,117,Broken window,Low,2025-05-23,In Progress
383,108,Mold in bathroom,Low,2025-02-02,In Progress
384,276,Painting required,Low,2025-07-10,Open
385,296,Heater not working,Low,2025-12-30,In Progress
386,179,Noise complaint,Low,2025-06-04,In Progress
387,267,Noise complaint,Low,2025-10-20,In Progress
388,188,Broken window,High,2025-02-27,Open
389,392,Garage door malfunction,High,2025-12-02,Closed
390,260,Broken window,Medium,2025-03-23,In Progress
391,132,Mold in bathroom,Medium,2025-07-31,Open
392,252,No hot water,Low,2025-11-22,In Progress
393,324,Pest control,Low,2025-10-30,Closed
394,300,Painting required,Low,2025-01-14,Closed
395,347,Leaky faucet,Low,2025-01-15,Open
396,349,Mold in bathroom,Medium,2025-10-25,In Progress
397,278,Doorbell not working,Medium,2025-11-20,Open
398,171,Pest control,Medium,2025-05-25,In Progress
399,145,Pest control,Low,2025-09-12,Open
400,386,No hot water,Medium,2025-02-16,In Progress
401,147,Faulty door lock,Medium,2025-05-17,Open
402,246,Garage door malfunction,High,2025-12-21,Closed
403,236,Mold in bathroom,Low,2025-07-22,Closed
404,390,Light fixture flickering,High,2025-12-28,In Progress
405,349,Garage door malfunction,High,2025-05-21,Open
406,390,Heater not working,High,2025-01-09,Open
407,391,Noise complaint,Medium,2025-10-31,Open
408,307,Faulty door lock,Low,2025-02-23,In Progress
409,261,Painting required,Medium,2025-10-16,Open
410,120,Pest control,High,2025-05-26,In Progress
411,310,Broken window,Low,2025-10-23,In Progress
412,345,Doorbell not working,Medium,2025-09-24,Closed
413,392,Pest control,High,2025-10-04,Closed
414,147,Noise complaint,Low,2025-01-01,Open
415,292,Broken window,Low,2025-08-31,Open
416,215,Mold in bathroom,Medium,2025-08-20,Closed
417,233,Air conditioning not cooling,Medium,2025-12-08,In Progress
418,358,Doorbell not working,Medium,2025-11-27,Open
419,280,Noise complaint,High,2025-07-10,In Progress
420,102,Roof leak,Medium,2025-03-02,Closed
421,160,Garage door malfunction,Medium,2025-05-08,In Progress
422,120,Clogged drain,Low,2025-02-14,Closed
423,329,Pest control,High,2025-11-09,Closed
424,151,Mold in bathroom,Medium,2025-11-03,Closed
425,288,Leaky faucet,High,2025-12-13,Open
426,216,Pest control,Medium,2025-07-10,Open
427,166,Pest control,High,2025-11-13,Closed
428,172,Air conditioning not cooling,Medium,2025-06-04,In Progress
429,128,Air conditioning not cooling,High,2025-11-21,Open
430,254,Light fixture flickering,High,2025-12-04,In Progress
431,358,Garage door malfunction,High,2025-03-16,Closed
432,400,No hot water,Medium,2025-10-07,Open
433,333,Mold in bathroom,High,2025-05-05,In Progress
434,299,Faulty door lock,High,2025-06-06,Closed
435,373,Painting required,Medium,2025-08-17,Open
436,215,Pest control,High,2025-02-09,Closed
437,219,No hot water,Medium,2025-06-22,Closed
438,377,Faulty door lock,Low,2025-10-14,Closed
439,255,Leaky faucet,Low,2025-02-15,Open
440,128,Mold in bathroom,High,2025-01-28,Closed
441,287,Roof leak,Low,2025-10-29,Closed
442,154,Noise complaint,Medium,2025-04-03,Closed
443,249,Painting required,Low,2025-09-18,Closed
444,172,Leaky faucet,High,2025-01-02,In Progress
445,272,Broken window,Low,2025-06-22,Open
446,146,Noise complaint,Low,2025-07-25,Open
447,347,Noise complaint,Low,2025-05-20,Closed
448,128,Heater not working,Low,2025-12-19,Closed
449,347,Air conditioning not cooling,Low,2025-02-11,Open
450,189,Noise complaint,Medium,2025-08-16,Open
451,248,Broken window,Low,2025-08-19,Closed
452,240,Heater not working,High,2025-06-27,Closed
453,287,Faulty door lock,High,2025-12-01,Open
454,259,Mold in bathroom,High,2025-09-21,Open
455,376,Painting required,Low,2025-12-30,Open
456,365,Garage door malfunction,Low,2025-02-19,Closed
457,161,Mold in bathroom,Low,2025-02-21,Closed
458,278,Pest control,Medium,2025-05-13,Open
459,364,Clogged drain,High,2025-10-06,Closed
460,183,Air conditioning not cooling,Low,2025-07-10,In Progress
461,344,Roof leak,Low,2025-01-08,Open
462,167,Garage door malfunction,Medium,2025-10-29,Closed
463,108,Clogged drain,Low,2025-12-22,Closed
464,271,Clogged drain,Low,2025-05-05,Open
465,146,Faulty door lock,High,2025-08-02,In Progress
466,341,Light fixture flickering,Medium,2025-02-03,In Progress
467,300,Leaky faucet,Low,2025-02-04,Closed
468,262,Air conditioning not cooling,Low,2025-11-03,Open
469,151,Air conditioning not cooling,Medium,2025-02-21,In Progress
470,313,Mold in bathroom,High,2025-09-04,In Progress
471,357,Heater not working,Low,2025-11-10,In Progress
472,256,Faulty door lock,Medium,2025-02-12,Closed
473,106,Noise complaint,Low,2025-10-09,Open
474,328,Air conditioning not cooling,Low,2025-05-27,In Progress
475,158,Clogged drain,High,2025-07-31,In Progress
476,379,Clogged drain,Medium,2025-01-05,In Progress
477,288,Heater not working,High,2025-04-13,Open
478,228,Faulty door lock,Low,2025-12-03,Open
479,133,Pest control,Medium,2025-12-20,Closed
480,371,Noise complaint,High,2025-01-20,Closed
481,344,Roof leak,High,2025-10-20,Closed
482,381,Mold in bathroom,Medium,2025-10-14,Closed
483,265,Clogged drain,Medium,2025-05-25,Open
484,175,Clogged drain,Low,2025-05-17,Closed
485,102,Light fixture flickering,Low,2025-10-20,Closed
486,372,Roof leak,Medium,2025-08-12,Open
487,400,Broken window,Low,2025-02-09,Open
488,149,Painting required,High,2025-01-03,In Progress
489,361,Doorbell not working,Low,2025-01-06,Open
490,204,Pest control,Medium,2025-05-24,In Progress
491,214,Heater not working,Medium,2025-05-17,In Progress
492,292,Mold in bathroom,High,2025-06-13,Closed
493,209,Noise complaint,Medium,2025-05-08,Open
494,262,Pest control,Medium,2025-12-18,Closed
495,249,Heater not working,Low,2025-11-28,In Progress
496,341,Garage door malfunction,Low,2025-07-21,In Progress
497,293,Leaky faucet,Low,2025-08-25,Open
498,348,Broken window,Medium,2025-09-07,Open
499,297,Leaky faucet,High,2025-07-10,In Progress
500,396,Noise complaint,Low,2025-05-01,Closed
501,307,Light fixture flickering,Low,2025-04-05,Closed
502,340,No hot water,Low,2025-07-12,Closed
503,127,Painting required,Medium,2025-03-13,Closed
504,188,Heater not working,Low,2025-03-07,Closed
505,177,Clogged drain,Low,2025-02-02,Closed
506,294,Doorbell not working,Low,2025-06-30,Open
507,156,Faulty door lock,Medium,2025-04-08,Open
508,366,Broken window,Low,2025-11-16,Closed
509,393,Roof leak,Medium,2025-08-10,Closed
510,196,No hot water,Medium,2025-08-11,In Progress
511,400,Noise complaint,Low,2025-10-02,Closed
512,117,Roof leak,High,2025-01-07,Closed
513,252,No hot water,Low,2025-11-17,In Progress
514,196,Heater not working,Low,2025-09-29,Closed
515,217,Mold in bathroom,Medium,2025-11-17,In Progress
516,204,Mold in bathroom,Low,2025-05-05,In Progress
517,308,Clogged drain,Medium,2025-06-09,Open
518,124,Leaky faucet,Low,2025-09-11,Closed
519,391,Broken window,Low,2025-04-24,In Progress
520,189,Broken window,Medium,2025-08-25,In Progress
521,363,Mold in bathroom,Low,2025-07-06,In Progress
522,380,Roof leak,Medium,2025-11-28,In Progress
523,116,No hot water,Low,2025-10-28,Closed
524,375,Noise complaint,Low,2025-10-04,In Progress
525,364,Painting required,Low,2025-11-23,Closed
526,130,Clogged drain,Low,2025-04-09,In Progress
527,191,Roof leak,Medium,2025-02-16,Open
528,232,Garage door malfunction,Low,2025-06-09,Open
529,288,Mold in bathroom,High,2025-06-13,In Progress
530,340,Clogged drain,Low,2025-04-20,In Progress
531,149,Pest control,Low,2025-11-17,In Progress
532,139,Heater not working,High,2025-02-22,In Progress
533,350,Mold in bathroom,Low,2025-03-20,Closed
534,270,Painting required,Low,2025-04-17,Closed
535,139,Roof leak,Low,2025-01-06,Closed
536,163,Heater not working,Low,2025-12-31,Closed
537,395,Leaky faucet,Low,2025-11-22,Closed
538,276,Mold in bathroom,Medium,2025-05-08,Closed
539,397,Clogged drain,High,2025-07-31,Open
540,201,Faulty door lock,Low,2025-04-29,In Progress
541,218,Faulty door lock,Low,2025-09-15,In Progress
542,338,Clogged drain,Low,2025-10-05,Closed
543,398,Pest control,Medium,2025-01-16,In Progress
544,360,Pest control,High,2025-08-18,Closed
545,187,Mold in bathroom,Medium,2025-03-27,In Progress
546,157,Faulty door lock,High,2025-08-26,Open
547,275,No hot water,High,2025-07-25,Closed
548,139,Clogged drain,High,2025-04-25,Closed
549,281,Heater not working,Low,2025-08-09,In Progress
550,306,Painting required,Low,2025-08-07,In Progress
551,189,Painting required,Low,2025-10-16,Open
